Email,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
student0@university.com,Female,22,97.36,40.61,59.61,73.69,53.17,7.34,62.84,83.49,C
student1@university.com,Male,18,97.71,57.27,74,74.23,98.23,8.8,98.23,92.29,F
student2@university.com,Male,24,99.52,41.84,63.85,85.85,50,0.47,91.22,93.55,F
student3@university.com,Female,24,90.38,45.65,44.44,68.1,66.27,0.42,55.48,51.03,A
student4@university.com,Female,23,59.41,53.13,61.77,67.66,83.98,6.43,87.43,90.91,A
student5@university.com,Male,21,60.6,70.21,64.48,87.85,52.26,5.48,67.65,92.66,D
student6@university.com,Male,24,67.01,90.85,93.74,89,54.17,1.55,87.51,79.78,A
student7@university.com,Male,19,65.91,91.72,59.47,50.72,53.83,5.48,90.04,74,F
student8@university.com,Female,21,97.83,76.97,62.75,57.19,79.08,9.74,57.57,55.55,D
student9@university.com,Female,22,89.45,95.69,86.97,60.65,94.8,6.31,83.09,61.98,C
student10@university.com,Female,23,86.2,70,85.54,67.58,77.77,4.49,93.14,74.52,D
student11@university.com,Female,20,59.3,93.34,87.9,64.57,80.18,8.28,66.17,93.25,B
student12@university.com,Male,21,95.48,67.24,97.23,83.43,67.3,2.13,54.02,90.16,D
student13@university.com,Male,18,91.39,56.63,87.73,91.41,50.94,4.14,51.36,74.8,A
student14@university.com,Male,19,58.18,94.98,64.46,59.6,51.08,5.28,55.5,89.28,C
student15@university.com,Male,18,93.56,63.28,89.29,78.15,94.42,5.05,50.21,88.29,B
student16@university.com,Female,21,63.61,70.2,70.52,68.39,55.13,9.21,66.35,78.95,D
student17@university.com,Female,23,54.04,59.73,56.66,75.29,99.99,2.93,64.97,61.02,C
student18@university.com,Male,20,82.84,79.77,58.18,81.04,58.22,0.57,55.52,67.4,A
student19@university.com,Male,20,82.69,99.7,53.43,94.68,83.73,9.16,82.56,58.2,C
student20@university.com,Male,18,54.75,41.53,48.7,59.61,97.45,2.17,99.6,50.36,C
student21@university.com,Male,22,65.94,93.99,51.07,54.35,68.11,3.79,95.05,54.03,B
student22@university.com,Male,22,99.64,40.24,43.79,81.36,86.72,5.31,62.64,87.98,F
student23@university.com,Female,23,83.92,61.85,93.31,69.71,67.54,9.76,88.5,51.67,A
student24@university.com,Female,20,86.5,50.12,95.86,58.15,65.25,5.35,96.84,69.99,B
student25@university.com,Male,18,60.65,85.44,75.21,55.85,60.09,4.48,95.32,99.29,B
student26@university.com,Male,18,53.94,43.04,90.43,77.95,91.05,5.84,94.23,89.76,B
student27@university.com,Male,18,63.85,73.21,51.01,65.02,62.87,9.71,89.32,87.53,F
